Time	RotTorq	YawBrFxp	YawBrFyp
6.75	1349000.0	156500.0	21820.0
6.8	1030000.0	171800.0	21340.0
6.85	965800.0	187200.0	15240.0
6.9	1176000.0	200700.0	3778.0
6.95	1555000.0	211500.0	-10210.0
7.0	1924000.0	219900.0	-22960.0
7.05	2109000.0	227300.0	-31810.0
7.1	2023000.0	235600.0	-36280.0
7.15	1701000.0	245300.0	-37830.0
7.2	1287000.0	255200.0	-38750.0
7.25	966200.0	263400.0	-40920.0
7.3	875800.0	268900.0	-45280.0
7.35	1049000.0	272500.0	-51680.0
7.4	1397000.0	275700.0	-59160.0
7.45	1756000.0	279400.0	-66160.0
7.5	1959000.0	283300.0	-70940.0
7.55	1913000.0	286200.0	-72090.0
7.6	1639000.0	286900.0	-69260.0
7.65	1262000.0	285500.0	-63630.0
7.7	950200.0	283300.0	-57760.0
7.75	840000.0	281800.0	-54340.0
7.8	974100.0	281100.0	-54930.0
7.85	1283000.0	280100.0	-58820.0
7.9	1619000.0	276500.0	-63360.0
7.95	1825000.0	269100.0	-65110.0
8.0	1804000.0	258899.99999999997	-61680.0
8.05	1565000.0	248500.0	-53190.0
8.1	1214000.0	239900.0	-42100.0
8.15	905600.0	233100.0	-31800.0
8.2	775100.0	226100.0	-24640.0
8.25	874800.0	216500.0	-20930.0
8.3	1153000.0	203200.0	-19020.0
8.35	1475000.0	187700.0	-16530.0
8.4	1693000.0	173100.0	-11590.0
8.45	1704000.0	161300.0	-3718.0
8.5	1504000.0	152300.0	6329.0
8.55	1185000.0	144300.0	16960.0
8.6	887500.0	135000.0	26480.0
8.65	743600.0	124600.0	33590.0
8.7	811700.0	115300.0	37730.0
8.75	1054000.0	109200.0	39260.0
8.8	1353000.0	106400.0	39370.0
8.85	1568000.0	105400.0	39790.0
8.9	1599000.0	104300.0	42190.0
8.95	1429000.0	101700.0	47370.0
9.0	1136000.0	99080.0	54720.0
9.05	848200.0	98360.0	62270.0
9.1	693300.0	100800.0	67550.0
9.15	735300.0	105600.0	68890.0
9.2	948100.0	110200.0	66250.0
9.25	1228000.0	112400.0	61340.0
9.3	1444000.0	112200.0	56690.0
9.35	1495000.0	111600.0	54350.0
9.4	1358000.0	112800.0	54730.0
9.45	1093000.0	116900.0	56380.0
9.5	820100.0	123900.0	56950.0
9.55	658500.0	132200.0	54440.0
9.6	676200.0	140300.0	48210.0
9.65	859100.0	147500.0	39260.0
9.7	1119000.0	154200.0	29640.0
9.75	1335000.0	161800.0	21340.0
9.8	1407000.0	171200.0	15410.0
9.85	1303000.0	182100.0	11740.0
9.9	1069000.0	193100.0	9267.0
9.95	812500.0	203100.0	6632.0
10.0	647200.0	212000.0	2727.0
10.05	644500.0	220300.0	-3091.0
10.1	801000.0	228800.0	-10860.0
10.15	1041000.0	237200.0	-19940.0
10.2	1253000.0	244300.0	-29140.0
10.25	1338000.0	248700.0	-37020.0
10.3	1258000.0	250500.0	-42490.0
10.35	1048000.0	250900.0	-45390.0
10.4	802700.0	251500.0	-46620.0
10.45	631600.0	253100.0	-47860.0
10.5	609100.0	255600.0	-50670.0
10.55	741000.0	257899.99999999997	-55660.0
10.6	963500.0	258399.99999999997	-61860.0
10.65	1173000.0	256700.0	-67220.0
10.7	1274000.0	253300.0	-69610.0
10.75	1221000.0	249000.0	-68100.0
10.8	1040000.0	244600.0	-63520.0
10.85	813700.0	240500.0	-57930.0
10.9	643700.0	237100.0	-53420.0
10.95	605200.0	234000.0	-51200.0
11.0	712000.0	230600.0	-51070.0
11.05	911200.0	226000.0	-51700.0
11.1	1110000.0	219100.0	-51350.0
11.15	1216000.0	210300.0	-48810.0
11.2	1182000.0	201200.0	-43830.0
11.25	1021000.0	193200.0	-36960.0
11.3	806400.0	186800.0	-29270.0
11.35	632600.0	181200.0	-21790.0
11.4	575300.0	175300.0	-15240.0
11.45	656900.0	168900.0	-9867.0
11.5	836400.0	162000.0	-5465.0
11.55	1030000.0	155300.0	-1367.0
11.6	1148000.0	148600.0	3353.0
11.65	1137000.0	142000.0	9574.0
11.7	1003000.0	135700.0	17570.0
11.75	804700.0	130300.00000000001	26630.0
11.8	632000.0	126500.0	35220.0
11.85	560100.0	124700.0	41610.0
11.9	617800.0	124200.0	44850.0
11.95	775100.0	123900.0	45400.0
12.0	956800.0	123300.0	44840.0
12.05	1077000.0	122300.0	45120.0
12.1	1080000.0	121900.0	47460.0
12.15	962700.0	123400.0	51710.0
12.2	776800.0	127000.0	56590.0
12.25	605400.0	131900.0	60410.0
12.3	523400.0	136700.0	61900.0
12.35	564900.0	140400.0	60870.0
12.4	708100.0	143000.0	58100.0
12.45	885400.0	145300.0	54720.0
12.5	1015000.0	148600.0	51700.0
12.55	1038000.0	153300.0	49490.0
12.6	945300.0	158800.0	47860.0
12.65	778400.0	164100.0	46190.0
12.7	613300.0	168400.0	43760.0
12.75	523600.0	172300.0	39950.0
12.8	547500.0	176700.0	34350.0
12.85	670800.0	182700.0	26990.0
12.9	834300.0	189700.0	18510.0
12.95	962100.0	196400.0	10110.0
13.0	996200.0	201600.0	3120.0
13.05	922000.0	205500.0	-1723.0
13.1	773700.0	209100.0	-4787.0
13.15	619200.0	213500.0	-7328.0
13.2	527500.0	219200.0	-10870.0
13.25	538800.0	224900.0	-16329.999999999998
13.3	645700.0	228600.0	-23530.0
13.35	798000.0	229200.0	-31270.0
13.4	925300.0	227200.0	-38090.0
13.45	969900.0	224900.0	-42990.0
13.5	912500.0	224100.0	-45910.0
13.55	779800.0	225000.0	-47630.0
13.6	633200.0	226000.0	-49190.0
13.65	539300.0	225200.0	-51340.0
13.7	540000.0	222000.0	-54290.0
13.75	633900.0	217800.0	-57620.0
13.8	776500.0	214500.0	-60570.0
13.85	902200.0	213400.0	-62330.0
13.9	953600.0	213300.0	-62360.0
13.95	907500.0	212400.0	-60510.0
14.0	786000.0	209800.0	-57040.0
14.05	645000.0	205500.0	-52620.0
14.1	548500.0	200700.0	-48120.0
14.15	538800.0	196700.0	-44430.0
14.2	617700.0	194100.0	-41940.0
14.25	747100.0	191900.0	-40250.0
14.3	865900.0	188600.0	-38410.0
14.35	917900.0	183000.0	-35360.0
14.4	878100.0	176000.0	-30490.0
14.45	764100.0	169500.0	-23990.0
14.5	627500.0	164700.0	-16730.0
14.55	529400.0	161700.0	-9892.0
14.6	512400.0	159300.0	-4292.0
14.65	581400.0	156200.0	8.682
14.7	702500.0	152500.0	3737.0
14.75	818800.0	149300.0	7919.0
14.8	876500.0	147700.0	13280.0
14.85	850100.0	147600.0	19900.0
14.9	752500.0	148300.0	27160.0
14.95	628400.0	148500.0	34070.0
15.0	533500.0	148000.0	39750.0
15.05	509600.0	147700.0	43750.0
15.1	565800.0	148700.0	46170.0
15.15	674300.0	151500.0	47420.0
15.2	783900.0	155300.0	48080.0
15.25	842700.0	158300.0	48670.0
15.3	822700.0	159400.0	49590.0
15.35	733000.0	158700.0	51090.0
15.4	614200.0	158000.0	52950.0
15.45	519700.00000000006	159000.0	54480.0
15.5	489800.0	162100.0	54770.0
15.55	536000.0	166000.0	53290.0
15.6	635400.0	168700.0	50230.0
15.65	742400.0	169200.0	46470.0
15.7	808600.0	168100.0	43020.0
15.75	805000.0	167400.0	40440.0
15.8	734400.0	168900.0	38570.0
15.85	629800.0	172500.0	36590.0
15.9	539100.0	176600.0	33570.0
15.95	503300.0	179600.0	28920.0
16.0	537700.0	181100.0	22730.0
16.05	625400.0	182500.0	15630.0
16.1	725600.0	185200.0	8449.0
16.15	791900.0	189700.0	1828.0
16.2	794300.0	195000.0	-3849.0
16.25	732700.0	199400.0	-8545.0
16.3	636500.0	201500.0	-12520.0
16.35	549700.0	201600.0	-16280.000000000002
16.4	511200.0	201200.0	-20360.0
16.45	537900.0	202100.0	-25030.0
16.5	616100.0	204400.0	-30270.0
16.55	709500.0	206800.0	-35610.0
16.6	775800.0	207600.0	-40380.0
16.65	784600.0	205900.0	-44060.0
16.7	733300.0	202600.0	-46470.0
16.75	645900.0	199600.0	-47940.0
16.8	562100.0	198100.0	-49120.0
16.85	519299.99999999994	198400.0	-50560.0
16.9	536200.0	199200.0	-52430.0
16.95	603900.0	198900.0	-54460.0
17.0	689800.0	197000.0	-56130.0
17.05	754200.0	194600.0	-56830.0
17.1	768200.0	193100.0	-56080.0
17.15	726400.0	193200.0	-53770.0
17.2	648200.0	194100.0	-50230.0
17.25	569000.0	194400.0	-46120.0
17.3	524200.00000000006	192900.0	-42050.0
17.35	533200.0	190000.0	-38410.0
17.4	590800.0	186800.0	-35210.0
17.45	669800.0	184700.0	-32119.999999999996
17.5	734300.0	183900.0	-28630.0
17.55	754400.0	183800.0	-24360.0
17.6	720800.0	182700.0	-19250.0
17.65	648300.0	179900.0	-13600.0
17.7	569300.0	175800.0	-7777.0
17.75	519200.00000000006	172100.0	-2172.0
17.8	519700.00000000006	170200.0	2901.0
17.85	568700.0	169900.0	7335.0
17.9	643300.0	170000.0	11350.0
17.95	709000.0	169100.0	15420.0
18.0	736200.0	167000.0	19960.0
18.05	712900.0	164800.0	25220.0
18.1	649700.0	163700.0	30910.0
18.15	575500.0	164400.0	36440.0
18.2	523600.0	165900.0	41120.0
18.25	517200.00000000006	166500.0	44500.0
18.3	558600.0	165400.0	46560.0
18.35	628200.0	163300.0	47620.0
18.4	693300.0	161600.0	48120.0
18.45	723900.0	161900.0	48520.0
18.5	705700.0	163800.0	49050.0
18.55	646700.0	166100.0	49620.0
18.6	573800.0	167200.0	50010.0
18.65	520799.99999999994	166500.0	49860.0
18.7	511500.0	165200.0	48840.0
18.75	549500.0	164900.0	46770.0
18.8	616700.0	167000.0	43750.0
18.85	682200.0	171300.0	40230.0
18.9	716500.0	176100.0	36730.0
18.95	704600.0	179400.0	33590.0
19.0	653000.0	180400.0	30820.0
19.05	585900.0	180000.0	28010.0
19.1	533900.0	180800.0	24520.0
19.15	520100.0	183900.0	19820.0
19.2	550000.0	188900.0	13850.0
19.25	609400.0	193700.0	7102.0
19.3	671000.0	196500.0	325.90000000000003
19.35	706400.0	197100.0	-5865.0
19.4	698500.0	196500.0	-11270.0
19.45	650400.0	196700.0	-15990.0
19.5	583800.0	198800.0	-20300.0
19.55	528400.0	202100.0	-24480.0
19.6	509000.0	204300.0	-28700.0
19.65	534100.0	204100.0	-33020.0
19.7	591800.0	201700.0	-37340.0
19.75	655600.0	198900.0	-41430.0
19.8	697000.0	197500.0	-44950.0
19.85	698000.0	198400.0	-47590.0
19.9	659300.0	200700.0	-49280.0
19.95	599200.0	202500.0	-50220.0
20.0	545500.0	202000.0	-50870.0
20.05	522799.99999999994	199500.0	-51650.0
20.1	541700.0	196500.0	-52710.0
20.15	593300.0	195100.0	-53860.0
20.2	653500.0	195900.0	-54660.0
20.25	694600.0	197900.0	-54550.0
20.3	697900.0	198900.0	-53140.0
20.35	663100.0	197300.0	-50330.0
20.4	606800.0	193500.0	-46460.0
20.45	554300.0	189200.0	-42200.0
20.5	528700.0	186300.0	-38150.0
20.55	541100.0	185200.0	-34420.0
20.6	585300.0	184600.0	-30750.0
20.65	641600.0	182500.0	-26700.0
20.7	684500.0	178100.0	-22010.0
20.75	695200.0	172500.0	-16760.0
20.8	669200.0	167900.0	-11250.0
20.85	618500.0	165600.0	-5811.0
20.9	566100.0	165500.0	-597.4000000000001
20.95	535700.0	165500.0	4429.0
21.0	540700.0	164200.0	9323.0
21.05	577600.0	161300.0	13990.0
21.1	629300.0	158500.0	18330.0
21.15	671900.0	157300.0	22330.0
21.2	686300.0	158400.0	26210.0
21.25	666200.0	160900.0	30320.0
21.3	621600.0	163200.0	34880.0
21.35	572900.0	164300.0	39630.0
21.4	541200.0	164600.0	43900.0
21.45	539000.0	165400.0	46940.0
21.5	566100.0	167300.0	48460.0
21.55	610200.0	169800.0	48850.0
21.6	650800.0	171900.0	48800.0
21.65	669300.0	172700.0	48890.0
21.7	656600.0	172700.0	49170.0
21.75	617800.0	173300.0	49190.0
21.8	569800.0	175700.0	48430.0
21.85	534000.0	179400.0	46660.0
21.9	525900.0	182900.0	44060.0
21.95	548700.0	184700.0	41030.0
22.0	591200.0	184800.0	37850.0
22.05	633900.0	184500.0	34560.0
22.1	657400.0	185400.0	31080.0
22.15	651700.0	188600.0	27330.0
22.2	619700.0	193000.0	23340.0
22.25	576200.0	196600.0	19220.0
22.3	540700.0	198200.0	14990.0
22.35	529000.0	198100.0	10510.0
22.4	546400.0	197500.0	5549.0
22.45	584600.0	198000.0	-119.0
22.5	626000.0	199800.0	-6395.0
22.55	651500.0	202000.0	-12800.0
22.6	650200.0	203300.0	-18670.0
22.65	622900.0	202900.0	-23560.0
22.7	582600.0	201300.0	-27530.0
22.75	547400.0	199300.0	-31070.0
22.8	533100.0	198200.0	-34760.0
22.85	546500.0	198500.0	-38790.0
22.9	581300.0	198900.0	-42900.0
22.95	622500.0	198000.0	-46470.0
23.0	652700.0	195500.0	-48980.0
